DISTRICT,LOCATION,LONGITUDE,LATITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,F,PO4,Ca,Mg,Na,K,SiO2,TH,SAR_VALUE,RSC_VALUE
SAS Nagar,Dheri,76.69583333,30.625,8.24,726,0,342.0,57.0,0.0,1.0,1.00,0,28.0,24.0,88.0,4.0,,170,2.440680863,2.2
SAS Nagar,Gholu Majra,76.824,30.533,8.71,1085,111,390.0,21.0,0.0,1.0,1.30,0,16.0,22.0,188.0,4.0,,130,6.099525435,7.5
SAS Nagar,Goga,76.55416667,30.70833333,7.96,695,0,360.0,35.5,0.0,2.1,0.42,0,40.0,24.0,68.0,0.9,,200,1.7,1.9
SAS Nagar,Haluka,76.66234,30.56114,8.58,688,48,238.0,43.0,3.0,0.1,0.24,0,64.0,10.0,65.0,2.4,,200,1.511219304,1.5
SAS Nagar,Ha0esra,76.892,30.417,8.14,1017,0,372.0,92.0,60.0,2.6,0.42,0,20.0,24.0,148.0,25.5,,150,4.4623679,3.1
SAS Nagar,Issapur,76.82985,30.5942,8.19,689,0,372.0,28.0,0.0,0.7,0.18,0,32.0,15.0,78.0,29.0,,140,2.275493867,3.2
SAS Nagar,Joli,76.9,30.55,7.97,1940,0,214.0,447.0,86.0,91.0,0.19,1,84.0,88.0,168.0,39.0,,570,2.561975982,-8.0
SAS Nagar,Landran,76.66372,30.69517,8,919,0,293.0,142.0,5.0,17.0,0.48,0,68.0,17.0,88.0,24.0,,240,1.908988029,0.0
SAS Nagar,Sirsini,76.77812,30.4552,8.23,4586,0,421.0,716.0,888.0,0.9,0.84,0,68.0,194.0,560.0,88.0,,971,6.919383108,-12.7
SAS Nagar,Sundran,76.893,30.615,8.12,561,0,305.0,14.0,12.0,0.0,0.37,0,24.0,19.0,66.0,3.0,,140,2.012981128,2.2
Tarn Taran,Amnisha Kalra,74.62388889,31.39388889,8.9,2015,108,829.9,78.0,182.0,1.3,9.00,0,16.0,19.5,485.0,9.4,,120.096,16.28011835,14.8
Tarn Taran,Barwala,74.803,31.224,8.54,1345,48,695.6,177.3,0.0,25.0,4.50,0,16.0,19.5,365.0,18.0,,120.096,12.25204783,10.6
Tarn Taran,Bhikhiwind,74.7,31.35,8.37,518,24,280.7,7.1,25.0,7.7,0.35,0,32.0,9.7,87.0,4.8,,120.096,2.694518817,3.0
Tarn Taran,Chabal,74.8,31.48111111,8.41,1852,36,756.6,7.1,295.0,48.0,2.20,0,16.0,51.1,355.0,18.0,,250.2,8.667564629,8.5
Tarn Taran,Cholashaib,74.9893,31.2573,8.27,440,0,244.1,14.2,25.0,20.0,0.62,0,28.0,26.8,34.0,9.4,,180.144,0.918583486,0.4
Tarn Taran,Gandi wind,74.7,31.517,8.23,1043,0,488.2,92.2,95.0,7.1,0.32,0,20.0,43.8,182.0,12.0,,230.184,4.557126081,3.4
Tarn Taran,Goi0wal Sahib,75.144,31.365,8.35,486,36,207.5,21.3,28.0,7.3,0.47,0,28.0,14.6,74.0,6.4,,130.104,2.267550228,2.0
Tarn Taran,Kalsian Kalan,74.7004,31.2768,8.17,536,0,366.1,7.1,0.0,12.0,0.35,0,24.0,14.6,90.0,5.6,,120.096,2.89720251,3.6
Tarn Taran,Khadur sahib,75.13055556,31.43333333,8.27,656,0,439.3,14.2,8.0,0.8,0.40,0,24.0,21.9,105.0,12.0,,150.12,3.099652099,4.2
Tarn Taran,Khawaspur,75.1,31.392,8.25,644,0,293.0,49.6,30.0,33.0,0.40,0,24.0,31.6,78.0,8.6,,190.152,2.092122945,1.0
Tarn Taran,Maarihinavaabad,74.666,31.332,8.48,457,36,256.3,7.1,0.0,0.8,0.25,0,16.0,17.0,78.0,5.9,,110.088,2.715611433,3.2
Tarn Taran,Rattoke,74.6261,31.141,8.4,1660,36,744.4,14.2,272.0,40.0,1.60,0,20.0,58.4,325.0,15.0,,290.232,7.341001711,7.5
Tarn Taran,Sahabpur,74.9316,31.3924,8.08,426,0,329.5,7.1,0.0,0.7,0.22,0,20.0,21.9,62.0,8.3,,140.112,1.915643426,2.6
Ludhiana,Basian Bet,75.6244,30.9017,8.01,402,0,244.0,7.1,45.0,19.0,0.45,0,80.0,2.4,18.0,6.9,,230,0.396587384,-0.2
Ludhiana,Begowal,76.056,30.817,7.95,900,0,586.0,21.0,0.0,27.0,1.05,0,48.0,22.0,95.0,9.6,,310,2.270934358,5.4
Rupnagar,Brahampur,76.4,31.331,8.49,418,36,98.0,21.0,22.0,20.0,0.39,0,40.0,17.0,18.0,0.8,,170,0.476831649,-0.6
SAS Nagar,Sawara,76.641,30.684,8.23,2675,0,585.0,390.0,144.0,180.0,1.00,0,44.0,58.0,365.0,145.0,,350,7.228077064,2.6
Rupnagar,Hardo Namoh,76.575,31.15,8.41,607,51,127.0,50.0,38.0,4.4,0.37,0,24.0,29.0,46.0,19.0,,180,1.263717188,0.2
Ferozepur,Moharewala,74.5849,30.8287,8.55,1825,72,366.1,121.2,295.0,180.0,1.20,0,16.0,46.2,350.0,50.0,,230.184,8.875704763,3.8
Fazilka,Noore ke Uttar,74.2799,30.6809,8.62,1388,72,488.2,40.4,152.0,12.0,0.69,0,16.0,38.9,250.0,9.2,,200.16,6.748136085,6.4
Fazilka,Mottiwala,74.3556,30.7125,8.52,1028,60,317.3,26.9,200.0,2.5,1.10,0,20.0,19.5,220.0,6.5,,130.104,7.000904101,4.6
Fazilka,Swahwala,74.3009,30.6007,8.7,2185,72,842.1,87.6,252.0,34.0,4.70,0,4.0,10.1,545.0,4.6,,52.0416,29.02798845,15.2
